!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
%	cent|per|percent
&	ampersand|et
'	apostrophe|quote|single|typewriter
)	bracket|close|paren|parens|parenthesis|round
*	asterisk|star|wildcard
*⃣	keycap
+	add|plus|sign
,	comma
-	dash|hyphen|minus
.	dot|full|period|stop
/	oblique|slash|solidus|stroke|virgule|whack
0⃣	keycap|zero
1⃣	keycap|one
2⃣	keycap|two
3⃣	keycap|three
4⃣	four|keycap
5⃣	five|keycap
6⃣	keycap|six
7⃣	keycap|seven
8⃣	eight|keycap
9⃣	keycap|nine
:	colon
;	semi|colon|semicolon
<	less|than|open|tag
=	equal|equals
>	close|greater|than|tag
?	mark|question
@	ampersat|arobase|arroba|sign|commercial|mark|strudel
[	bracket|crotchet|open|square
\	backslash|reverse|solidus|whack
]	bracket|close|crotchet|square
^	accent|caret|chevron|circumflex|control|hat|pointer|power|sign|wedge|xor
_	dash|line|low|underdash|underline
`	accent|grave|tone
{	brace|bracket|curly|gullwing|open
|	bar|line|pike|pipe|sheffer|stick|stroke|vbar|vertical
}	brace|bracket|close|curly|gullwing
~	tilde
¡	bang|exclamation|inverted|mark|point
¢	cent
£	currency|egp|gbp|pound
¤	unknown|currency
¥	cny|currency|jpy|yen|yuan
§	paragraph|part|section|silcrow
¨	diaeresis|tr|ma|umlaut
©	copyright
«	angle|brackets|carets|chevron|guillemet|left|quote
¬	negation|not
®	registered
°	degree|hour|proof
±	plus|minus
²	squared|superscript|two
³	cubed|superscript|three
´	accent|acute|tone
µ	measure|micro|sign
¶	alinea|mark|paragraph|paraph|pilcrow
·	dot|interpunct|middle|middot
¹	one|superscript
»	angle|brackets|carets|chevron|guillemet|quote|right
¿	inverted|mark|question
×	multiplication|multiply|sign|times
÷	divide|division|obelus|sign
֏	armenian|dram
؋	afghan|afghani
،	arabic|comma
؛	arabic|semi|colon|semicolon
؟	arabic|mark|question
৳	bangladeshi|taka
฿	thai|baht
៛	cambodian|riel
‐	dash|hyphen
–	dash|en
—	dash|em
―	bar|dash|horizontal|line
‘	apostrophe|left|quote|single|smart
’	apostrophe|quote|right|single|smart
‚	apostrophe|low|quote|right
“	double|left|mark|quotation|quote|smart
”	double|mark|quotation|quote|right|smart
„	double|low|mark|quotation|quote|right|smart
†	dagger|obelisk|obelus|sign
‡	dagger|double|obelisk|obelus|sign
•	bullet|dot
…	dots|ellipsis|omission
‧	dash|hyphen|hyphenation|point
‰	mil|mille|per|permil|permille
′	prime
″	double|prime
‴	prime|triple
‸	caret
※	mark|reference
‼	bangbang|double|exclamation|mark|punctuation
‽	interabang|interrobang
‾	overline|overstrike|vinculum
⁂	asterism|dinkus|stars
⁄	fraction|slash|stroke|virgule
⁉	exclamation|interrobang|mark|punctuation|question
⁻	minus|superscript
₡	costa|rican|col
₢	brb|cruzeiro|currency
₣	currency|franc|french
₤	currency|lira
₥	mil|mill
₦	nigerian|naira
₧	spanish|peseta
₨	currency|rupee
₩	kpw|krw|won
₪	israeli|new|shekel
₫	vietnamese|dong
€	currency|eur|euro
₭	laotian|kip
₮	mongolian|tugrik
₰	currency|german|penny|pfennig
₱	peso
₲	paraguayan|guarani
₳	ara|austral|currency
₴	ukrainian|hryvnia
₵	ghanaian|cedi
₶	currency|livre|tournois
₷	currency|spesmilo
₸	kazakhstani|tenge
₹	currency|indian|rupee
₺	turkish|lira
₼	azerbaijani|manat
₽	currency|ruble
₾	georgian|lari
₿	bitcoin|btc
℗	copyright|recording|sound
™	mark|tm|trade|trademark
ℹ	information
←	arrow|left|pointing
↑	arrow|up|pointing
→	arrow|right|pointing
↓	arrow|down|pointing
↔	arrow|left|right
↕	arrow|up|down
↖	arrow|direction|intercardinal|northwest|up|left
↗	arrow|direction|intercardinal|northeast|up|right
↘	arrow|direction|down|right|intercardinal|southeast
↙	arrow|direction|down|left|intercardinal|southwest
↚	arrow|leftwards|stroke
↛	arrow|rightwards|stroke
↜	arrow|leftwards|wave
↝	arrow|rightwards|wave
↞	arrow|headed|leftwards|two
↟	arrow|headed|two|upwards
